transaction_id,timestamp,payer_vpa,payee_vpa,amount,category,status,ref_no
UPI23523919,2026-07-28T19:16:55.377Z,priyareddy@okaxis,customer_2007@upi,25000,fmcg_wholesale,SUCCESS,REF849965
UPI39457175,2026-08-04T19:16:55.377Z,customer_2983@upi,amitpandey@okaxis,15000,auto_ancillary,SUCCESS,REF502121
UPI37867283,2026-06-23T19:16:55.377Z,customer_5789@upi,subhashreddy@okaxis,48000,fmcg_wholesale,SUCCESS,REF226269
UPI11809799,2026-05-11T19:16:55.377Z,customer_4732@upi,sameermishra@okaxis,2500,auto_ancillary,SUCCESS,REF319629
UPI31006944,2026-03-21T19:16:55.377Z,customer_4783@upi,varunbansal@okaxis,25000,pharma_distribution,SUCCESS,REF246091
UPI21847608,2026-06-11T19:16:55.377Z,customer_8583@upi,pranavshetty@okaxis,500,food_processing,SUCCESS,REF636211
UPI57387345,2026-07-23T19:16:55.377Z,customer_9435@upi,prakashpatel@okaxis,1200,textile,SUCCESS,REF487210
UPI77348379,2026-08-08T19:16:55.377Z,rahulkhan@okaxis,customer_8313@upi,25000,textile,SUCCESS,REF362978
UPI28119598,2026-03-11T19:16:55.377Z,chetanmishra@okaxis,customer_9856@upi,25000,food_processing,SUCCESS,REF794070
UPI62756558,2026-03-23T19:16:55.377Z,customer_6368@upi,prakashroy@okaxis,5000,fmcg_wholesale,SUCCESS,REF377708
UPI80981481,2026-04-20T19:16:55.377Z,customer_3823@upi,rakeshpatel@okaxis,15000,electronics_hardware,SUCCESS,REF777781
UPI49183256,2026-04-04T19:16:55.377Z,customer_8858@upi,manishmenon@okaxis,8500,manufacturing,SUCCESS,REF624845
UPI20417438,2026-05-21T19:16:55.377Z,jagdishchopra@okaxis,customer_3780@upi,25000,textile,SUCCESS,REF816122
UPI34406250,2026-05-05T19:16:55.377Z,customer_8561@upi,mukeshchatterjee@okaxis,5000,services,SUCCESS,REF515501
UPI77538580,2026-03-09T19:16:55.377Z,customer_4839@upi,saurabhdutta@okaxis,8500,food_processing,SUCCESS,REF953537
UPI12869984,2026-08-03T19:16:55.377Z,sanjaydesai@okaxis,customer_9921@upi,1200,textile,SUCCESS,REF827453
UPI20122685,2026-04-11T19:16:55.377Z,customer_3778@upi,prakashroy@okaxis,75000,fmcg_wholesale,SUCCESS,REF401138
UPI15685570,2026-07-06T19:16:55.377Z,amitjain@okaxis,customer_6050@upi,8500,manufacturing,SUCCESS,REF805146
UPI32614197,2026-05-20T19:16:55.377Z,customer_6041@upi,manishiyer@okaxis,25000,electronics_hardware,SUCCESS,REF336701
UPI30630787,2026-08-21T19:16:55.377Z,customer_6725@upi,prakashtrivedi@okaxis,1200,food_processing,SUCCESS,REF359691
UPI36124228,2026-04-17T19:16:55.377Z,customer_2740@upi,ganeshkumar@okaxis,8500,pharma_distribution,SUCCESS,REF104672
UPI72150077,2026-04-20T19:16:55.377Z,vikasreddy@okaxis,customer_9391@upi,1200,plastics_packaging,SUCCESS,REF168865
UPI58430555,2026-06-24T19:16:55.377Z,sanjaysen@okaxis,customer_7651@upi,75000,auto_ancillary,SUCCESS,REF316161
UPI41354552,2026-07-21T19:16:55.377Z,raviswaminathan@okaxis,customer_3158@upi,5000,electronics_hardware,SUCCESS,REF577114
UPI33977623,2026-05-20T19:16:55.377Z,subhashreddy@okaxis,customer_1219@upi,5000,fmcg_wholesale,SUCCESS,REF248946
UPI96021990,2026-05-02T19:16:55.377Z,divyamalhotra@okaxis,customer_5806@upi,1200,plastics_packaging,SUCCESS,REF195547
UPI23876543,2026-05-08T19:16:55.377Z,sureshvarma@okaxis,customer_6556@upi,500,retail,SUCCESS,REF347472
UPI90596836,2026-03-07T19:16:55.377Z,customer_7777@upi,manishmenon@okaxis,8500,manufacturing,SUCCESS,REF501944
UPI45905092,2026-03-30T19:16:55.377Z,customer_9440@upi,ishamalhotra@okaxis,75000,plastics_packaging,SUCCESS,REF822851
UPI66190200,2026-03-20T19:16:55.377Z,customer_3184@upi,krishnasharma@okaxis,5000,fmcg_wholesale,SUCCESS,REF240748
UPI54507716,2026-03-23T19:16:55.377Z,customer_1314@upi,anilchopra@okaxis,2500,food_processing,SUCCESS,REF852858
UPI80579861,2026-04-02T19:16:55.377Z,karankulkarni@okaxis,customer_8803@upi,75000,services,SUCCESS,REF323070
UPI70795524,2026-03-11T19:16:55.377Z,customer_1290@upi,sunildeshmukh@okaxis,8500,fmcg_wholesale,SUCCESS,REF181940
UPI98210262,2026-07-23T19:16:55.377Z,customer_8080@upi,amitdeshmukh@okaxis,15000,manufacturing,SUCCESS,REF326689
UPI12546296,2026-05-26T19:16:55.377Z,customer_3146@upi,bhavnabansal@okaxis,1200,auto_ancillary,SUCCESS,REF421207
UPI30192515,2026-04-27T19:16:55.377Z,customer_9126@upi,saurabhchauhan@okaxis,500,manufacturing,SUCCESS,REF996049
UPI34204475,2026-03-27T19:16:55.377Z,prakashtrivedi@okaxis,customer_9325@upi,8500,food_processing,SUCCESS,REF648437
UPI14304398,2026-03-26T19:16:55.377Z,customer_9717@upi,raviverma@okaxis,15000,retail,SUCCESS,REF142260
UPI26881172,2026-08-23T19:16:55.377Z,customer_7940@upi,pranavnaik@okaxis,1200,plastics_packaging,SUCCESS,REF808074
UPI34990354,2026-04-13T19:16:55.377Z,anilchopra@okaxis,customer_4300@upi,75000,food_processing,SUCCESS,REF843101
UPI78354166,2026-04-14T19:16:55.377Z,sachinnambiar@okaxis,customer_9768@upi,500,services,SUCCESS,REF311230
UPI53361496,2026-03-18T19:16:55.377Z,customer_5984@upi,rajeshreddy@okaxis,15000,auto_ancillary,SUCCESS,REF443016
UPI93067901,2026-04-01T19:16:55.377Z,customer_1253@upi,chetankhan@okaxis,15000,retail,SUCCESS,REF835682
UPI17195601,2026-08-06T19:16:55.377Z,customer_2548@upi,ishamalhotra@okaxis,15000,plastics_packaging,SUCCESS,REF853117
UPI12133487,2026-07-20T19:16:55.377Z,ajayshah@okaxis,customer_2507@upi,2500,food_processing,SUCCESS,REF725875
UPI20937114,2026-03-05T19:16:55.377Z,rameshyadav@okaxis,customer_8436@upi,15000,food_processing,SUCCESS,REF551180
UPI93328703,2026-03-25T19:16:55.377Z,vijayverma@okaxis,customer_5307@upi,500,retail,SUCCESS,REF792920
UPI75697145,2026-03-20T19:16:55.377Z,customer_5759@upi,nehasrivastava@okaxis,2500,retail,SUCCESS,REF681651
UPI81097993,2026-08-06T19:16:55.377Z,sameerreddy@okaxis,customer_7098@upi,25000,plastics_packaging,SUCCESS,REF814594
UPI29253472,2026-03-15T19:16:55.377Z,customer_8296@upi,jagdishnaik@okaxis,2500,food_processing,SUCCESS,REF955640
UPI56552469,2026-03-29T19:16:55.377Z,customer_5991@upi,vikramjoshi@okaxis,5000,food_processing,SUCCESS,REF235343
UPI86050540,2026-07-26T19:16:55.377Z,customer_5489@upi,amitiyer@okaxis,500,textile,SUCCESS,REF650925
UPI87469907,2026-07-24T19:16:55.377Z,ravijoshi@okaxis,customer_1763@upi,2500,pharma_distribution,SUCCESS,REF366277
UPI37199459,2026-03-03T19:16:55.377Z,customer_2451@upi,jagdishbansal@okaxis,8500,manufacturing,SUCCESS,REF211952
UPI28294753,2026-08-15T19:16:55.377Z,customer_2859@upi,rakeshpatel@okaxis,2500,electronics_hardware,SUCCESS,REF885173
UPI80478009,2026-05-11T19:16:55.377Z,customer_2960@upi,pradeepbansal@okaxis,75000,electronics_hardware,SUCCESS,REF749830
UPI10138117,2026-07-16T19:16:55.377Z,bhavnachatterjee@okaxis,customer_3391@upi,15000,auto_ancillary,SUCCESS,REF536477
UPI80330632,2026-04-22T19:16:55.377Z,customer_7459@upi,varunbansal@okaxis,15000,pharma_distribution,SUCCESS,REF542337
UPI90777777,2026-08-16T19:16:55.377Z,customer_2135@upi,ganeshroy@okaxis,1200,pharma_distribution,SUCCESS,REF231300
UPI57868441,2026-05-28T19:16:55.377Z,customer_8060@upi,haribose@okaxis,25000,retail,SUCCESS,REF233919
UPI54658179,2026-08-25T19:16:55.377Z,jagdishchopra@okaxis,customer_9537@upi,25000,textile,SUCCESS,REF447418
UPI20869212,2026-05-30T19:16:55.377Z,customer_7540@upi,sujataswaminathan@okaxis,75000,fmcg_wholesale,SUCCESS,REF535686
UPI82890432,2026-04-18T19:16:55.377Z,sunilbhattacharya@okaxis,customer_6708@upi,8500,food_processing,SUCCESS,REF129278
UPI33777391,2026-03-19T19:16:55.377Z,customer_8345@upi,sachinpillai@okaxis,15000,auto_ancillary,SUCCESS,REF525416
UPI43252314,2026-04-03T19:16:55.377Z,prakashpatel@okaxis,customer_9425@upi,500,textile,SUCCESS,REF687989
UPI77704089,2026-04-04T19:16:55.377Z,customer_7585@upi,sachinnambiar@okaxis,500,services,SUCCESS,REF147554
UPI10188271,2026-07-08T19:16:55.377Z,customer_3132@upi,prakashpatel@okaxis,1200,textile,SUCCESS,REF701331
UPI60427083,2026-03-12T19:16:55.377Z,gitajain@okaxis,customer_7038@upi,15000,pharma_distribution,SUCCESS,REF613209
UPI34809413,2026-05-01T19:16:55.377Z,pranavnaik@okaxis,customer_9941@upi,1200,plastics_packaging,SUCCESS,REF213746
UPI66390817,2026-08-14T19:16:55.377Z,saurabhchauhan@okaxis,customer_2148@upi,2500,manufacturing,SUCCESS,REF900162
UPI64893518,2026-04-09T19:16:55.377Z,customer_8630@upi,anildeshmukh@okaxis,2500,plastics_packaging,SUCCESS,REF236346
UPI36706404,2026-07-22T19:16:55.377Z,customer_4027@upi,rakeshsaxena@okaxis,75000,fmcg_wholesale,SUCCESS,REF252854
UPI14885030,2026-07-22T19:16:55.377Z,customer_4643@upi,ajaynair@okaxis,500,fmcg_wholesale,SUCCESS,REF146909
UPI49151620,2026-07-12T19:16:55.377Z,customer_4452@upi,madhavsingh@okaxis,2500,textile,SUCCESS,REF382399
UPI75895061,2026-06-24T19:16:55.377Z,rohitnaik@okaxis,customer_7092@upi,1200,food_processing,SUCCESS,REF189880
UPI28170910,2026-05-15T19:16:55.377Z,prashantjha@okaxis,customer_9868@upi,1200,manufacturing,SUCCESS,REF166574
UPI95701388,2026-07-06T19:16:55.377Z,customer_2753@upi,nitinbose@okaxis,1200,textile,SUCCESS,REF976369
UPI54875385,2026-08-21T19:16:55.377Z,priyasharma@okaxis,customer_9386@upi,25000,textile,SUCCESS,REF849822
UPI98748456,2026-08-06T19:16:55.377Z,customer_8071@upi,sanjaychauhan@okaxis,25000,retail,SUCCESS,REF884155
UPI17042824,2026-04-07T19:16:55.377Z,amitdeshmukh@okaxis,customer_2783@upi,1200,manufacturing,SUCCESS,REF143256
UPI56147376,2026-07-30T19:16:55.377Z,vikramagarwal@okaxis,customer_1159@upi,15000,services,SUCCESS,REF357681
UPI39117669,2026-04-16T19:16:55.377Z,umeshjoshi@okaxis,customer_7504@upi,8500,electronics_hardware,SUCCESS,REF424652
UPI75675925,2026-04-27T19:16:55.377Z,customer_3792@upi,ganeshsen@okaxis,500,textile,SUCCESS,REF508059
UPI72211033,2026-05-04T19:16:55.377Z,customer_8661@upi,meeradesai@okaxis,25000,food_processing,SUCCESS,REF438456
UPI21778549,2026-06-24T19:16:55.377Z,customer_7416@upi,ganeshkumar@okaxis,5000,pharma_distribution,SUCCESS,REF513067
UPI84100694,2026-03-24T19:16:55.377Z,customer_5030@upi,subhashiyer@okaxis,48000,services,SUCCESS,REF195779
UPI95566358,2026-06-17T19:16:55.377Z,customer_4142@upi,jagdishbansal@okaxis,75000,manufacturing,SUCCESS,REF117148
UPI39231095,2026-03-20T19:16:55.377Z,customer_7057@upi,rakeshdutta@okaxis,8500,electronics_hardware,SUCCESS,REF174398
UPI34817129,2026-07-08T19:16:55.377Z,customer_5748@upi,prashantjha@okaxis,2500,manufacturing,SUCCESS,REF931415
UPI28713348,2026-06-27T19:16:55.377Z,anilbose@okaxis,customer_4853@upi,2500,fmcg_wholesale,SUCCESS,REF218757
UPI83975308,2026-07-13T19:16:55.377Z,manishiyer@okaxis,customer_5677@upi,15000,electronics_hardware,SUCCESS,REF233645
UPI10325231,2026-03-31T19:16:55.377Z,customer_5194@upi,deepakswaminathan@okaxis,5000,electronics_hardware,SUCCESS,REF839969
UPI44152006,2026-06-17T19:16:55.377Z,customer_1042@upi,tarunsinghal@okaxis,8500,food_processing,SUCCESS,REF668283
UPI58511188,2026-06-23T19:16:55.377Z,customer_2527@upi,chetankhan@okaxis,25000,retail,SUCCESS,REF615810
UPI93125000,2026-06-11T19:16:55.377Z,customer_2620@upi,naveenshetty@okaxis,1200,fmcg_wholesale,SUCCESS,REF746439
UPI44382330,2026-06-02T19:16:55.377Z,customer_9961@upi,sunilkulkarni@okaxis,15000,fmcg_wholesale,SUCCESS,REF490725
UPI45338734,2026-08-02T19:16:55.377Z,customer_5855@upi,karanmenon@okaxis,15000,food_processing,SUCCESS,REF345891
UPI95716435,2026-08-27T19:16:55.377Z,customer_6275@upi,prakashpatil@okaxis,5000,pharma_distribution,SUCCESS,REF575825
UPI21904320,2026-05-28T19:16:55.377Z,ajayjoshi@okaxis,customer_3859@upi,15000,retail,SUCCESS,REF511084
UPI36957947,2026-05-30T19:16:55.377Z,customer_5913@upi,saurabhdutta@okaxis,2500,plastics_packaging,SUCCESS,REF248888
UPI10599537,2026-06-06T19:16:55.377Z,customer_6409@upi,rameshbansal@okaxis,75000,services,SUCCESS,REF253128
UPI59217978,2026-06-19T19:16:55.377Z,saurabhchauhan@okaxis,customer_8986@upi,2500,manufacturing,SUCCESS,REF654359
UPI25868827,2026-06-25T19:16:55.377Z,customer_1950@upi,sanjaychauhan@okaxis,15000,retail,SUCCESS,REF249803
UPI10274305,2026-04-20T19:16:55.377Z,customer_2273@upi,sujatanair@okaxis,75000,plastics_packaging,SUCCESS,REF603348
UPI58823302,2026-08-19T19:16:55.377Z,customer_6593@upi,prakashroy@okaxis,15000,fmcg_wholesale,SUCCESS,REF845551
UPI94571373,2026-05-08T19:16:55.377Z,prashantjha@okaxis,customer_2216@upi,15000,manufacturing,SUCCESS,REF273634
UPI87240740,2026-04-23T19:16:55.377Z,snehasinghal@okaxis,customer_2115@upi,1200,pharma_distribution,SUCCESS,REF651485
UPI13220293,2026-06-17T19:16:55.377Z,manishiyer@okaxis,customer_4928@upi,8500,electronics_hardware,SUCCESS,REF109660
UPI55565586,2026-07-19T19:16:55.377Z,amitkumar@okaxis,customer_5961@upi,1200,fmcg_wholesale,SUCCESS,REF245381
UPI53998842,2026-07-01T19:16:55.377Z,customer_5187@upi,rohitnaik@okaxis,8500,food_processing,SUCCESS,REF322538
UPI94908950,2026-06-24T19:16:55.377Z,tarunyadav@okaxis,customer_3243@upi,48000,plastics_packaging,SUCCESS,REF171685
UPI81351466,2026-08-15T19:16:55.377Z,amitkumar@okaxis,customer_3436@upi,1200,fmcg_wholesale,SUCCESS,REF990046
UPI83048611,2026-05-31T19:16:55.377Z,customer_1738@upi,sujatanair@okaxis,75000,plastics_packaging,SUCCESS,REF441508
UPI26389274,2026-03-29T19:16:55.377Z,customer_9787@upi,jagdishbansal@okaxis,8500,pharma_distribution,SUCCESS,REF956628
UPI74429012,2026-08-13T19:16:55.378Z,customer_2890@upi,subhashmehta@okaxis,5000,manufacturing,SUCCESS,REF632627
UPI76890046,2026-08-04T19:16:55.378Z,tarunpatel@okaxis,customer_9018@upi,5000,plastics_packaging,SUCCESS,REF933395
UPI70161265,2026-04-11T19:16:55.378Z,customer_5810@upi,kavitapatel@okaxis,8500,services,SUCCESS,REF589486
UPI27298225,2026-07-27T19:16:55.378Z,sachinpillai@okaxis,customer_3572@upi,500,auto_ancillary,SUCCESS,REF898125
UPI28023148,2026-07-30T19:16:55.378Z,nikhilsen@okaxis,customer_8277@upi,48000,food_processing,SUCCESS,REF823198
UPI38724922,2026-08-18T19:16:55.378Z,customer_8562@upi,ganeshbose@okaxis,48000,textile,SUCCESS,REF795262
UPI22459104,2026-07-11T19:16:55.378Z,divyashetty@okaxis,customer_4734@upi,48000,food_processing,SUCCESS,REF811539
UPI18947916,2026-05-31T19:16:55.378Z,customer_7765@upi,anilreddy@okaxis,75000,food_processing,SUCCESS,REF935918
UPI14580246,2026-05-09T19:16:55.378Z,customer_8294@upi,varunbansal@okaxis,1200,pharma_distribution,SUCCESS,REF598954
UPI52411651,2026-07-10T19:16:55.378Z,customer_5625@upi,gitajain@okaxis,25000,pharma_distribution,SUCCESS,REF297870
UPI42164351,2026-08-20T19:16:55.378Z,snehanambiar@okaxis,customer_6732@upi,75000,plastics_packaging,SUCCESS,REF296554
UPI80227237,2026-06-22T19:16:55.378Z,vikasreddy@okaxis,customer_4254@upi,15000,plastics_packaging,SUCCESS,REF825563
UPI19655864,2026-08-09T19:16:55.378Z,rajeshsen@okaxis,customer_5496@upi,15000,textile,SUCCESS,REF182118
UPI90172453,2026-04-19T19:16:55.378Z,customer_4429@upi,snehamishra@okaxis,8500,pharma_distribution,SUCCESS,REF630108
UPI48165895,2026-07-17T19:16:55.378Z,customer_4694@upi,rahulsharma@okaxis,500,pharma_distribution,SUCCESS,REF500088
UPI96691743,2026-04-26T19:16:55.378Z,customer_3595@upi,amitiyer@okaxis,8500,textile,SUCCESS,REF389282
UPI65472222,2026-06-04T19:16:55.378Z,sachinpillai@okaxis,customer_9105@upi,25000,auto_ancillary,SUCCESS,REF961577
UPI90896219,2026-08-06T19:16:55.378Z,karanmenon@okaxis,customer_8863@upi,2500,food_processing,SUCCESS,REF447530
UPI96019290,2026-03-12T19:16:55.378Z,customer_8174@upi,amitnaik@okaxis,1200,electronics_hardware,SUCCESS,REF844363
UPI50563657,2026-07-27T19:16:55.378Z,customer_2010@upi,sunilbhattacharya@okaxis,5000,food_processing,SUCCESS,REF315964
UPI20918209,2026-03-10T19:16:55.378Z,customer_7011@upi,ishamalhotra@okaxis,5000,plastics_packaging,SUCCESS,REF592889
UPI10138503,2026-04-12T19:16:55.378Z,customer_9481@upi,pranavnaik@okaxis,25000,plastics_packaging,SUCCESS,REF572361
UPI37946759,2026-04-10T19:16:55.378Z,customer_9394@upi,rahuljoshi@okaxis,8500,auto_ancillary,SUCCESS,REF418267
UPI10731867,2026-05-05T19:16:55.378Z,customer_7388@upi,umeshbhatia@okaxis,1200,services,SUCCESS,REF861165
UPI11549382,2026-08-11T19:16:55.378Z,anilbose@okaxis,customer_6768@upi,48000,fmcg_wholesale,SUCCESS,REF398275
UPI20121527,2026-07-27T19:16:55.378Z,customer_3507@upi,ravijoshi@okaxis,75000,pharma_distribution,SUCCESS,REF293487
UPI52837191,2026-08-09T19:16:55.378Z,customer_9244@upi,sunilkulkarni@okaxis,15000,fmcg_wholesale,SUCCESS,REF277357
UPI92751929,2026-03-31T19:16:55.378Z,customer_8284@upi,chetankhan@okaxis,15000,retail,SUCCESS,REF247106
UPI79587962,2026-07-06T19:16:55.378Z,krishnasharma@okaxis,customer_1600@upi,15000,fmcg_wholesale,SUCCESS,REF766624
UPI49734182,2026-07-12T19:16:55.378Z,bhavnamukherjee@okaxis,customer_2830@upi,25000,plastics_packaging,SUCCESS,REF566466
UPI66246141,2026-03-18T19:16:55.378Z,ajaynair@okaxis,customer_4280@upi,75000,fmcg_wholesale,SUCCESS,REF943854
UPI28846064,2026-08-18T19:16:55.378Z,ganeshkumar@okaxis,customer_2921@upi,8500,pharma_distribution,SUCCESS,REF862677
UPI83922839,2026-08-24T19:16:55.378Z,customer_5394@upi,shilpasrivastava@okaxis,1200,services,SUCCESS,REF753491
UPI14532021,2026-07-18T19:16:55.378Z,customer_3004@upi,subhashbhattacharya@okaxis,25000,services,SUCCESS,REF613518
UPI40395833,2026-06-24T19:16:55.378Z,karanmenon@okaxis,customer_6722@upi,5000,food_processing,SUCCESS,REF506647
UPI57903163,2026-07-02T19:16:55.378Z,customer_7188@upi,amitpandey@okaxis,500,auto_ancillary,SUCCESS,REF763433
UPI20109567,2026-04-22T19:16:55.378Z,customer_3708@upi,anilbose@okaxis,48000,fmcg_wholesale,SUCCESS,REF981099
UPI16737268,2026-08-02T19:16:55.378Z,customer_3252@upi,kavitapatel@okaxis,2500,services,SUCCESS,REF523533
UPI54175154,2026-08-19T19:16:55.378Z,jagdishchopra@okaxis,customer_7461@upi,1200,textile,SUCCESS,REF521292
UPI75478780,2026-07-09T19:16:55.378Z,customer_5640@upi,jagdishbansal@okaxis,2500,manufacturing,SUCCESS,REF171597
UPI40370370,2026-07-04T19:16:55.378Z,customer_9761@upi,ishajha@okaxis,1200,plastics_packaging,SUCCESS,REF838337
UPI65238811,2026-08-03T19:16:55.378Z,customer_5464@upi,jagdishbansal@okaxis,8500,pharma_distribution,SUCCESS,REF852067
UPI83139660,2026-03-30T19:16:55.378Z,customer_8052@upi,umeshmukherjee@okaxis,48000,electronics_hardware,SUCCESS,REF810011
UPI13795138,2026-04-10T19:16:55.378Z,customer_7500@upi,sachinpillai@okaxis,48000,auto_ancillary,SUCCESS,REF476057
UPI83594135,2026-05-29T19:16:55.378Z,customer_9445@upi,priyareddy@okaxis,500,fmcg_wholesale,SUCCESS,REF780760
UPI35592206,2026-07-02T19:16:55.378Z,customer_1193@upi,nehachauhan@okaxis,8500,manufacturing,SUCCESS,REF121342
UPI19511574,2026-06-05T19:16:55.378Z,kavitachopra@okaxis,customer_4717@upi,2500,auto_ancillary,SUCCESS,REF261693
UPI11741126,2026-08-16T19:16:55.378Z,customer_9655@upi,pradeepverma@okaxis,15000,plastics_packaging,SUCCESS,REF232368
UPI15336419,2026-05-08T19:16:55.378Z,gitadutta@okaxis,customer_2314@upi,2500,retail,SUCCESS,REF730590
UPI50019675,2026-07-06T19:16:55.378Z,customer_9664@upi,kumarchandran@okaxis,5000,services,SUCCESS,REF120246
